Date,Forecasted Load,Lower CI,Upper CI
2024-06-20 00:00:00+00:00,225828.1744679188,187257.7355641735,264398.61337166413
2024-06-21 00:00:00+00:00,220909.4856536628,182337.10048473903,259481.87082258656
2024-06-22 00:00:00+00:00,191124.6459389372,152550.78423885186,229698.50763902254
2024-06-23 00:00:00+00:00,180263.4482061559,141688.4663259211,218838.43008639073
2024-06-24 00:00:00+00:00,219659.04032463374,181078.18504868337,258239.8956005841
2024-06-25 00:00:00+00:00,225009.58128769536,186424.27056763048,263594.89200776024
2024-06-26 00:00:00+00:00,226112.8176466891,187524.12700384247,264701.50828953576
2024-06-27 00:00:00+00:00,225828.17446803115,187236.91973555007,264419.42920051224
2024-06-28 00:00:00+00:00,220909.48565376064,182316.28570585416,259502.68560166712
2024-06-29 00:00:00+00:00,191124.64593902242,152529.9702562773,229719.32162176754
2024-06-30 00:00:00+00:00,180263.44820623015,141667.65294743062,218859.2434650297
2024-07-01 00:00:00+00:00,219659.0403246984,181057.37483702702,258260.7058123698
2024-07-02 00:00:00+00:00,225009.58128775167,186403.46275762943,263615.6998178739
2024-07-03 00:00:00+00:00,226112.81764673814,187503.32101537893,264722.31427809736
2024-07-04 00:00:00+00:00,225828.17446807388,187216.11512873461,264440.23380741314
2024-07-05 00:00:00+00:00,220909.48565379786,182295.48214708615,259523.48916050958
2024-07-06 00:00:00+00:00,191124.64593905484,152509.16749253793,229740.12438557175
2024-07-07 00:00:00+00:00,180263.44820625838,141646.85078680393,218880.04562571284
2024-07-08 00:00:00+00:00,219659.040324723,181036.57583811955,258281.50481132645
2024-07-09 00:00:00+00:00,225009.5812877731,186382.6661565,263636.4964190462
2024-07-10 00:00:00+00:00,226112.8176467568,187482.5262328474,264743.1090606662
2024-07-11 00:00:00+00:00,225828.17446809012,187195.3217256223,264461.0272105579
2024-07-12 00:00:00+00:00,220909.485653812,182274.68979033126,259544.28151729275
2024-07-13 00:00:00+00:00,191124.64593906718,152488.37592953013,229760.91594860423
2024-07-14 00:00:00+00:00,180263.44820626912,141626.05982593703,218900.83658660122
2024-07-15 00:00:00+00:00,219659.04032473234,181015.78803386947,258302.29261559522
2024-07-16 00:00:00+00:00,225009.58128778124,186361.88074615964,263657.28182940284
2024-07-17 00:00:00+00:00,226112.8176467639,187461.74263817188,264763.8926553559
2024-07-18 00:00:00+00:00,225828.1744680963,187174.5395081418,264481.80942805076
2024-07-19 00:00:00+00:00,220909.4856538174,182253.90861752132,259565.06269011347
2024-07-20 00:00:00+00:00,191124.64593907187,152467.5955491879,229781.69632895582
2024-07-21 00:00:00+00:00,180263.4482062732,141605.2800467654,218921.616365781
2024-07-22 00:00:00+00:00,219659.0403247359,180995.0114062254,258323.06924324637
2024-07-23 00:00:00+00:00,225009.58128778433,186341.10650856688,263678.0560670018
2024-07-24 00:00:00+00:00,226112.8176467666,187440.97021331824,264784.66508021497
2024-07-25 00:00:00+00:00,225828.17446809864,187153.76845826439,264502.58047793293
2024-07-26 00:00:00+00:00,220909.48565381943,182233.13861063163,259585.83269700722
2024-07-27 00:00:00+00:00,191124.64593907364,152446.82633348962,229802.46554465767
2024-07-28 00:00:00+00:00,180263.44820627474,141584.51143126952,218942.38498127996
2024-07-29 00:00:00+00:00,219659.04032473726,180974.2459371814,258343.83471229312
2024-07-30 00:00:00+00:00,225009.58128778552,186320.34342572594,263698.8191498451
2024-07-31 00:00:00+00:00,226112.81764676762,187420.2089402982,264805.426353237
2024-08-01 00:00:00+00:00,225828.17446809955,187133.00855800754,264523.34037819155
2024-08-02 00:00:00+00:00,220909.48565382021,182212.3797516841,259606.59155595634
2024-08-03 00:00:00+00:00,191124.6459390743,152426.0682644603,229823.22361368831
2024-08-04 00:00:00+00:00,180263.44820627532,141563.7539614769,218963.14245107374
2024-08-05 00:00:00+00:00,219659.04032473778,180953.49160877842,258364.58904069714
2024-08-06 00:00:00+00:00,225009.58128778596,186299.59147968795,263719.57109588396
2024-08-07 00:00:00+00:00,226112.817646768,187399.45880117084,264826.1764923652
2024-08-08 00:00:00+00:00,225828.1744680999,187112.25978943618,264544.0891467636
2024-08-09 00:00:00+00:00,220909.4856538205,182191.63202274794,259627.33928489307
2024-08-10 00:00:00+00:00,191124.64593907457,152405.3213241726,229843.97055397654
2024-08-11 00:00:00+00:00,180263.44820627556,141543.00761946267,218983.88879308844
2024-08-12 00:00:00+00:00,219659.040324738,180932.7484031052,258385.3322463708
2024-08-13 00:00:00+00:00,225009.58128778613,186278.85065255192,263740.31192302034
2024-08-14 00:00:00+00:00,226112.81764676815,187378.7197780428,264846.9155154935
